评论者姓名,评论时间,评论点赞数,评论者IP归属地,性别,评论者关注数,评论者粉丝数,评论内容
故知__,2024-04-24 10:19:24,0,来自山东,男,93,204,carwith能不能增加点投入啊，隔壁一月几更，小米一月一更，优化的也差，车都能造，这个小功能怎么做的这么差
Blues蓝雨,2024-04-24 10:17:39,0,来自江西,女,299,465,選配雪花狀的見有測試更快更強!
杨创数码,2024-04-24 10:16:11,0,来自广东,男,184,27,每天都有热点，真牛
Blues蓝雨,2024-04-24 10:15:22,0,来自江西,女,299,465,原厂是指標配梅花型輪轂嗎
-Zeroi,2024-04-24 10:15:02,0,来自广东,男,431,414,期待明天的车展
盘州市周军,2024-04-24 10:13:43,0,来自贵州,男,62,50,别一天su7su7了，好好优化下手机的澎湃os吧！别忘初心
科勒迪瓦鲇鱼,2024-04-24 10:13:39,0,来自中国,男,96,17,pro加把劲
Aloha_202308,2024-04-24 10:12:36,0,来自山东,男,42,0,牛
一惊一吒的,2024-04-24 10:12:10,0,来自广东,女,1475,125,同样是企业老总，为啥从来不见任正非每天在网上宣传自己的产品呢
樱饼柿子,2024-04-24 10:10:51,0,来自辽宁,女,539,86,好好好，期待
沓衾,2024-04-24 10:10:11,0,来自福建,男,1803,170,耶～小米su7 俺勒梦中情车
立立_,2024-04-24 10:10:00,0,来自江西,男,81,5,
米Super_七,2024-04-24 10:09:16,0,来自山东,男,35,0,买不到啊
战神狂飙叶无缺,2024-04-24 10:08:51,0,来自广东,男,255,25,期待
SUPERHEROWONG,2024-04-24 10:08:28,0,来自北京,男,192,96,据说1分33
创始版su7对我很重要帮帮忙雷总,2024-04-24 10:06:42,0,来自上海,女,326,9,老板pro版能尽快上吗？上海的能尽快交付吗？
八里香_,2024-04-24 10:06:10,0,来自广东,男,483,52,手机不管了？系统不优化了
北暮g,2024-04-24 10:06:09,1,来自江苏,男,32,16,雷总啊，我想要SUV啊，什么时候能等到小米的SUV啊
WSQ行为学研究员,2024-04-24 10:05:48,0,来自四川,男,119,128,最期待的来了
羽翼冰封5555,2024-04-24 10:05:39,0,来自中国,男,127,6,yyds雷总
鹤舞诗恩,2024-04-24 10:04:37,0,来自安徽,男,194,233,坐等明天公布
皮卡丘_-666,2024-04-24 10:04:33,1,来自陕西,女,202,48,
有生之年买辆米SU,2024-04-24 10:04:27,0,来自山东,男,351,5,雷总，看我的名字
联相拯慦者,2024-04-24 10:04:15,0,来自河南,男,63,14,
Ookami狼,2024-04-24 10:04:13,0,来自上海,男,508,1.1万,雷总su7的车模什么时候补货
牵驴的李怀念,2024-04-24 10:04:08,0,来自江西,男,44,1,
英明神武的账房伙计,2024-04-24 10:03:32,0,来自江苏,男,123,5,不服跑个圈
登哥小弟卡佩拉,2024-04-24 10:03:30,0,来自山西,男,1618,2434,期待啊，雷总
嘎嘎小年糕,2024-04-24 10:03:17,0,来自天津,女,104,8,期待
小明是个准码农,2024-04-24 10:03:06,0,来自上海,男,254,439,1分3X秒？@键盘车神教教主
明天yao出逃,2024-04-24 10:02:51,0,来自上海,女,44,5,期待(*^o^*)
小D东咚咚,2024-04-24 10:02:51,0,来自广东,男,171,53,
女儿写给生活的诗,2024-04-24 10:01:51,0,来自浙江,男,78,0,沙发
雨血Zzz,2024-04-24 10:01:40,0,来自上海,男,109,8,好嗨呀，天天有更新
怡宝喜欢有魅力的人,2024-04-24 10:01:39,0,来自江苏,女,423,110,SU7太优秀了
希之Xz,2024-04-24 10:01:38,0,来自辽宁,男,599,1238,
没出息的小叫花,2024-04-24 10:01:36,0,来自新疆,男,194,23,啊？
雪融化了52199,2024-04-24 10:01:36,0,来自天津,男,93,21,雷总，上午好
韩幸延呐,2024-04-24 10:01:22,0,来自四川,男,404,139,早雷总！
别错过夕阳日落,2024-04-24 10:01:19,0,来自河南,男,31,0,雷总 俺想要最新的小米工装
怡宝喜欢有魅力的人,2024-04-24 10:01:17,0,来自江苏,女,423,110,好期待
小柒姑娘清明,2024-04-24 10:01:17,0,来自四川,女,27,5,
王心凌胖胖,2024-04-24 10:01:15,0,来自广东,女,138,12,顶尖
王心凌胖胖,2024-04-24 10:01:11,0,来自广东,女,138,12,牛
小仙女下凡rua,2024-04-24 10:01:10,0,来自四川,女,48,0,第一
王心凌胖胖,2024-04-24 10:01:05,0,来自广东,女,138,12,
摄影不错,2024-04-24 13:00:46,0,来自四川,女,31,11,
KrisFish,2024-04-25 07:09:02,0,来自湖北,女,5000,23.4万,//@一个人的小微:不止是铁秀   教主  堂主  杰克  nana  韩路  太多人说这辆车是真的好开。//@玛粒儿的饲养员:雷总去看看铁秀的视频！快半个小时，对SU7标准版跟Max版评价都很高！
心你学,2024-04-24 18:37:02,0,来自福建,男,165,177,中美贸易战，中国更需要文化输出。请看私信，金庸武侠走向世界
yuanyuan没道理,2024-04-24 15:31:44,0,来自山东,男,289,43,雷总能不能送我一个二十万的优惠券 我现在就去订车 雷总抬一抬手 我直接幸福一生
心你学,2024-04-24 13:53:05,0,来自福建,男,165,177,中美贸易战，中国更需要文化输出！请看私信，金庸武侠走向世界
那个来临之前的我,2024-04-24 13:46:18,0,来自山东,男,241,93,Lei:r u ok? Me:yes l’m very happy
大海鲸鱼8,2024-04-24 10:04:50,0,来自江苏,男,35,18,u9？
温瞳199712,2024-04-25 07:50:52,0,来自浙江,男,12,2,厉害
四九城自己人,2024-04-24 22:11:56,0,来自山西,男,54,0,所以小米SU7的方向盘和保时捷到底哪里像了 ？都能控制方向 ？
花笨仙子,2024-04-24 21:04:27,0,来自河南,女,475,24,期待
这公司真坑,2024-04-24 18:03:08,0,来自上海,男,15,0,你们这售后真让人无语，两个礼拜了都不来安装，两次放鸽子，自己出钱请人安装，最后客服专员给我来电说报销不了，@雷军 你还说什么用户当朋友，你们就是这样对待朋友的咯，你们觉得地方偏僻迟迟不来装，可以，我自己出钱请人装，最后安装费不给报，我也没提出什么过分的要求吧，这点小事小米都处理不好
小眼睛1D,2024-04-24 17:20:28,0,来自广东,男,25,0,雷总，su7翼子板松动脱落这个事知道了吗？怎么解决这个事呀
