Username,Content,Post Time,Shares,Comments,Likes
崔啸-大管家,"今晚这场辩论，如果说还有另外的蝴蝶效应，我觉得可能对小米su7后续的订单会产生影响。

毕竟之前网上众多声音都是捧小米su7，而且大多数米粉也是坚定的信任这台车。但是今晚辩论之后，大家看到原来之前的“拥趸”其实并没有什么逻辑可言，同时所谓的“小米黑”却反而“言出理随”。

同时在某种程度上 ...全文",昨天 10:02 转赞人数超过10,1,9,19
李勇岐,"【15万的小米汽车要来了？小米汽车将推出纯电SUV，同时规划更低价车型】小米汽车显然已经一炮而红。4月23日，雷军在小米投资者大会上宣布，截至20日，小米SU7锁单量已突破7万辆，其年交付目标也已同步提升至超10万辆。那么，小米汽车此后的产品规划如何，能延续首款车的销售热潮吗？
我们从产业界最新 ...全文",昨天 10:02 转赞人数超过1000,4,55,1029
环球总财,"#小米投资者大会##小米SU7# 【花旗上调小米集团的盈利预估和目标价，#小米SU7毛利率是多少？# 】
4月23日，雷军在小米投资者大会上宣布，截至20日小米SU7的锁单量已突破7万辆，并将年交付目标提升至超过10万辆。同时他还对供应商的支持表示感谢，并预计毛利率将在5-10%之间。
雷军进一步表示：“小米汽 ...全文",昨天 22:01,转发,评论,赞
大神CC,"小米SU7创始版终于等到提车了，过程顺利半天搞定，并且路上有没脖子组合很欢乐！片尾有彩蛋喔！

#小米汽车##小米su7# 大神CC的微博视频",昨天 09:54 转赞人数超过100,3,4,127
太上玉虚,"化忌真的不好吗？化忌通常被看作是不好的四化，代表执着，阻碍，焦虑甚至是前世欠债。

但是我要讲一个点，就是如果你能利用好化忌，你是可以发挥出比化禄还大的财富。

为什么，因为这是原动力，使命感，责任感。这也就是为什么雷军最近辟谣说四十岁的时候其实卡里没有冰冷的四十亿，却感觉人生一事无 ...全文",昨天 09:52 转赞人数超过50,13,69,56
车轮上的世界,"雷军直播表态，小米越野车暂时不做！
我觉得小米确实暂时不应该！不能够！不需要！做新能源越野！怎么个不应该？不能够？不需要？因为雷军小米汽车有自己的紧急重要事情去做！
听听许大帅解读其中奥妙 ~
揭秘小米汽车之谜 第X集

#百家车坛 ##热血大帅##雷军##小米su7##遥遥领先# ...全文",昨天 21:29,转发,评论,1
学徒RICKY,昨天看了车圈一个车评人因为点评小米汽车跟一个网络达人在线PK的直播，其实挺降维打击的，但从结果来看不一定是谁赢谁输，大V和小V从这件事的认知不同，所以就像生活里你跟一个和你认知不同的吵架，一定吵不到一个点上。从大V的角度需要一个平台解释自己被网暴的点，小V则需要蹭流量，从结果来看，这是 ...全文,昨天 21:29,转发,评论,赞
BigDONG,"提车日记4
来给新开刘平皮鞋店上上人气
#小米su7##小米su7提车日记#小米汽车 南通·南通市新开农贸市场",昨天 21:28,转发,1,1
策划人毛庆海,#雷军# #小米su7# 早上上班等红绿灯时候，抓住一辆海湾蓝。,昨天 21:22,转发,1,1
小鱼芽芽芽-,要种多少颗牙才能买得起小米su7#牙齿种植##小米su7# 深圳,昨天 21:20,转发,评论,赞
吴佩,"替雷总算了算，现在4月份，那年销十万就是单月11000台多点，我给大家整理了一下，目前月销11000台左右的新能源品牌，大概是这样的：

1、零跑今年3月销量14567台
2、深蓝今年3月销量13048台
3、极氪今年3月销量13012台
4、蔚来今年3月销量11866台
5、腾势今年3月销量10279台

所以，你觉得雷总这事能不 ...全文",昨天 09:11 转赞人数超过200,8,60,220
42号车库,"雷军刚刚在个人公众号上发布了一篇题为《雷军：答投资者问》的文章，分享今天在投资者大会上的回答。

摘录了一些重点：

- 最核心的技术：澎湃OS、芯片、AI 三大底层核心技术；

- 2016 年开始，小米内部就下定了 All in AI 的决心，AI 相关产品全部自研；

- 雷军个人定的目标是月销 1 万，小米 SU7 ...全文",昨天 09:06 转赞人数超过80,11,33,137
懒酱的日记本,"听说，关于#小米SU7# 的辟谣“力度”有三种 ？

轻档，徐洁云
中档，小米公司发言人
重档，小米法务部

不过，玩笑归玩笑，任何有害的谣言都会伤害到“雷军最大的周边”，都应该及时地进行辟谣。

#小米称网传保险杠掉漆SU7Max经改装#",昨天 09:03 转赞人数超过90,1,15,104
天极车讯,"小米汽车的反围剿之战

战况如下：
比亚迪汉以0.42万辆销量的成绩夺得第一名。
极氪001反超小米SU7，以0.22万辆的成绩位居第二名。
小米SU7以0.17万辆的成绩下滑两个名次，屈居第三名。
小米汽车#小米su7##新能源汽车##极氪001##比亚迪汉#",4-23 21:01,转发,1,赞
大狸子切切里,"华为Ai大师妙手回春啊！早知道我的SU7就送去给华为修了

#小米su7##华为pura70ultra##华为p70#",昨天 08:49 转赞人数超过100,4,43,256
Cici_老魏,腾总和馨心正在DY直播抽取#小米su7# 一年使用权，佳宝在中间乖巧的像个宝宝真·社恐认证,昨天 08:46 转赞人数超过100,2,29,220
蒸汽电荷,"#小米汽车#的这个回应，显然是针对昨天陈震和那个老师（没记住名字）对话。
车内少装和不加装附件，肯定是更安全的，这个安全包括空气质量安全、包括碰撞安全。
新车买回家，装一些东西是人之常情，法律不会管、也管不过来。
主机厂提供配件方案当卖点，无可厚非。
可是，你要非站出来，说我这东西不违 ...全文",4-23 20:40,转发,2,1
yellovv·sir,中意睇到现车啦#小米SU7##揸车# 佛山,4-23 20:40,转发,评论,赞
一个包子菌,"#小米su7# 雷军的SU7创始版为何是1046，有什么含义吗
#雷军#",4-23 20:33,转发,评论,赞
差评君,#差评说车# 新闻要连起来看，这边截止到 4 月 20 号，#小米su7# 锁单量已经超过 7 万台。另一边据财联社，#蔚来对已下定小米SU7消费者补贴5000元#。现在订单全在小米那卡着了，友商们只能卷上加卷。不过锁单 7 万多了也是真的夸张，感觉短时间内很难有新车有这种成绩了。,昨天 08:19 转赞人数超过30,2,26,45
MR的胡同学,"小米SU7 黑武士
真的超级霸气
#小米su7#",4-23 20:05,转发,1,赞
云股东,当小米su7遇到特斯拉…#小米su7##特斯拉##陈震称小米SU7背离自己预期# 云股东的微博视频,4-23 20:02,8,42,157
Li好青年,"深更半夜花了一个多小时看了下陈震老师和剪刀老师的直播#陈震回应小米su7测评争议# …

剪刀老师代表的就是目前死忠粉的状态，你不能说我爱豆不好，即使你不喜欢你不能说，你要真说出确实不好的地方了，那我就是不懂，我不让你说…

而且明显没有准备来辩论，就是来搞笑的，也可能趁机蹭一波流量…正儿 ...全文",4-23 19:55,转发,2,2
肖爱民,"#小米SU7# 前7万锁单用户的部分数据：
颜色选择：灰色占34%、霞光紫占23%、14.5% 占海湾蓝、橄榄绿占12.7%，我最喜欢的海湾蓝占比有点少啊。
用户性别：女性购买占比28%，女车主占比40-50%。这个占比正常。
客户群体：苹果手机用户占比46%。这数据估计比小米手机用户都高吧？",4-23 19:54,转发,评论,1
大泽科技SHOW,小米食堂最火单品—酸奶大麻花，油汪汪的太诱人了！除了#小米SU7#这个应该就是小米近期最火的产品了，我留着晚餐吃,昨天 07:36 转赞人数超过50,14,29,52
火爸朱剑笛,#小米SU7# 支持两车之间的充电补能模式，面对其他车辆中途没电的突发状况，可为其反向充电，缓解燃眉之急。——就是说可以作为汽车移动电源（充电宝）,4-23 19:33,转发,1,赞
电驹哥说电动车,"小米汽车太会玩了。雷军推荐一下，友商回应一下，流量和格局都有了。小米把所有的车企都调动起来了。估计现在全国的汽车厂商都想跟小米互动，蹭小米的流量，互相提升流量。

这比之前某品牌老板三瓜俩枣的那些言论好多了，一个拉仇恨，一个博好感。雷军的情商高。#小米su7#",4-23 19:25,2,3,11
澡堂歌手ZTGS,"#陈震直播回应小米SU7争议#这代表了大多数数码博主和一些基础粉丝的真实逻辑水平和个人表达水平以及价值观，生活中这样的人不少的，金剪刀弱智级别的表现像一堆蛆里被扔了块石头，动了一下，又报团在一起做个低级生物去了～

我又批量拉黑了一群和他一样油腻恶臭没有逻辑的数码博主，只关注@李杰灵 ， ...全文",4-23 19:20,转发,1,3
财经早餐,"#财经早餐# 2024.04.24星期三
五一#出境游# 商品预订量增长约100%
冲突和危机已经扰乱通常投资模式
支持央行在二级市场开展#国债# 买卖
2024年地方政府专项债项目筛选完成
一季度全国城镇新增#就业# 303万人
上海今年将启动不少于15个“城中村”项目
4月23日A股收评
公募一季度小赚202亿元
上市公司要 ...全文",4-23 18:51,1,1,3
宁果之家,金:你的兰博基尼后排怎么样 陈震:兰博基尼没有后排 金:兰博基尼有4门版，怎么没有后排，你是说后排太小了，干脆不谈后排了吗？ 陈震: 大家帮编续编下去 #陈震# #小米su7# #数码宝贝#,4-23 18:11,转发,2,1
娱乐抹茶圈,本田思域：雷总大气！ cr.有点胖的小露 #小米su7 #万万没想到 #搞笑#微博VC计划# 娱乐抹茶圈的微博视频,4-23 18:07,转发,1,赞
徐卓SHINE,"卢伟冰卢总 @雷军 我想回家啊啊啊～
小米汽车工厂里内部压铸机那些就算是机密，这不让看，展厅那不让参观的，这现成摆放这的车模，杯子还都不卖也就算了。
我一个ninebot小米九号首批平衡车用户，十多年的活跃米粉，深圳广州东莞香港，大连长途两天两夜冒雨奔袭820公里前来#小米su7# ...全文",4-23 14:40,1,评论,赞
爱唠嗑的布先森,问界智驾遥遥领先，车主分享智驾经验！#问界新m7##问界m9##小米su7##我与汽车的日常#,4-23 13:45,1,4,10
YYP颜宇鹏,大家车言论出品 被催更很久的YYP版小米SU7车评来了，抱歉让大家久等了，相信这会是全网最详尽小米SU7车评。#小米SU7# #大家车的小米su7# YYP颜宇鹏的微博视频,昨天 01:26 转赞人数超过1000,215,310,1437
朵哥互联科技,能告诉我#小米su7# 手机APP一直连接不上是咋回事吗 朵哥互联科技的微博视频,4-23 13:25,转发,3,4
耿耿得耿,我也是好起来了 竟然能开上su7了#小米su7#,4-23 12:40,转发,2,4
钢铁是怎样炼成功的,#小米##小米汽车##小米SU7# 配置、性能和外形全面碾压Model3 //@雷军:特斯拉是全球行业标杆，我们要认真向特斯拉学习！ //@特魔豆: su7才是第一台纯电对model3有竞争压力的车，很赞同莱茵哈特的观点,昨天 00:24 转赞人数超过40,转发,49,57
黎Sir教路,"哈哈，沈总在CUE雷总吗

#大v聊车##小米SU7##数码宝贝#",4-23 12:18,1,评论,6
浪漫是真的,小米汽车的AI有啥用 雷总你早说有这功能，发布会上那些都多余讲！#雷军 #小米 #小米SU7 #AI功能 #优质博文上热搜开放计划# 浪漫是真的的微博视频,4-23 12:05,转发,2,2
湘子记,小米汽车#小米su7#有点小好奇，不黑，纯技术疑问，240hm/h，的时候电耗是多少，谁来说说,4-23 12:00,转发,1,赞
新渠道-李霸天,"#蔚来推出SU7 专项补贴#

除了智界 S7，蔚来也跟进了：凭借SU7的订单可以拿5000补贴

#雷军称着急购车可考虑智界s7##小米su7#",4-23 转赞人数超过200,11,65,285
伦叔胖子,北京小米#小米su7#,4-23 11:56,转发,2,2
笨瓜傻蛋0814,"网上有传言说，有用户在#小米su7# 小米SU7 Max提车两天时就
出现前保险杠掉漆现象，是什么情况？",4-23 11:54,转发,评论,赞
坏超,送给22岁的大玩具#小米su7#,4-23 11:50,转发,评论,赞
是你的风,外面下雨就去车库遛狗，正好看到一辆网红#小米su7# ，这是真帅啊各位，外观时尚大气，给国产新能源汽车和@雷军 点个赞，加油雷总，小米 very ok,4-23 11:42,转发,评论,赞
伦叔胖子,北京小米#小米su7#,4-23 11:56,转发,2,2
笨瓜傻蛋0814,"网上有传言说，有用户在#小米su7# 小米SU7 Max提车两天时就
出现前保险杠掉漆现象，是什么情况？",4-23 11:54,转发,评论,赞
坏超,送给22岁的大玩具#小米su7#,4-23 11:50,转发,评论,赞
是你的风,外面下雨就去车库遛狗，正好看到一辆网红#小米su7# ，这是真帅啊各位，外观时尚大气，给国产新能源汽车和@雷军 点个赞，加油雷总，小米 very ok,4-23 11:42,转发,评论,赞
休息狂,"今晚震哥直播的时候质疑小米SU7上的拓展件可能不符合交通法规，官方解释来了。
#陈震直播回应小米SU7争议##小米SU7#",4-23 11:36,1,评论,3
吕俭LJ,"陈震vs米粉 面对面battle，有点担心米粉现场爆奏陈震

不用看都知道陈震逻辑碾压…如果草老师去，能改变战局吗？
#小米##小米su7#",4-23 转赞人数超过30,12,32,54
训殖师,"你们发现没有，陈震和金剪刀有一个共同点，那就是之前都是米粉现在不是了。
陈震是测试小米SU7的问题，米粉觉得他在黑所以不认他是米粉。
金剪刀是跟陈震辩论输的太惨，米粉觉得他丢人，不承认他是米粉。
#陈震与金剪刀直播对峙小米su7争议##小米su7##金剪刀#",4-23 11:35,转发,评论,3
淮扬的阳,"看了直播回放
审美，逻辑思维，价值观不在一个层面
手机支架也是反映的这一点
高端必须摆脱这些
#小米su7#",4-23 11:28,转发,评论,赞
众奥四驱-赵大鼎,我家楼下竟然有这么网红的车小米su7#小米su7##买小米su7被极越辞退员工发声#,4-23 11:25,转发,评论,1
Dynamics-你健哥,"#极石汽车# 和#小米su7# 都是21年开始入局新能源汽车吧；
3年后给出了截然不同的成绩；

今天有幸听了@石头昌敬 昌老板的在线沟通会，发现大家都是在很认真的做自己心中的Dream car；

保时捷·费里南迪先生因为这个梦想创造了保时捷传奇；

雷军雷总因为这个梦想，不惜压上个人荣誉发起了自己最后一次 ...全文",4-23 转赞人数超过90,38,74,100
传奇韭菜月半,"昨天晚上拿G63换#小米su7# 体验了一下
大概开了40公里左右
简单写写试驾感受

小米SU7太火了，试驾根本约不上
销售跟我说想试驾先交个小订

没辙，只能自己想办法感受一下

车这个产品还是必须要开起来才知道到底什么样
静态看SU7挺不错的
但是上手开了之后
开了40公里我都没开明白 ...全文",4-23 转赞人数超过100,13,122,168
科技九洲君,@雷军 雷总你好，@卢伟冰 卢总你好，我是 13 年的米粉，买过无数的小米产品，消费绝对是过百万了，尤其是雷总最后一次创业的#小米su7# Max我更是买了两辆，不知道方不方便把我从黑名单里拉出来？,4-23 转赞人数超过1400,94,500,1567
蔚氪特Victory,想知道，没买过小米手机但是买了小米SU7的用户有多少？#小米手机##小米su7#,4-23 10:55,转发,评论,赞
我是白T恤,#小米su7# 划重点来了，震哥和金老师今天的直播也辩论到这一点了。@陈震同学 @金剪刀开箱,4-23 10:49,转发,评论,赞
偏我来时就逢春,小米能不能出个油车啊，我是真喜欢#小米##小米su7#,4-23 10:49,转发,评论,赞
牙周治病君,#小米su7# 小区进来了一辆Su7@雷军 ，颜色很棒，很帅很帅很帅,4-23 10:45,转发,2,4
玩转电车潇洒哥,说实话，我很喜欢小米，但有些时候，似乎在维护自己喜爱的品牌时，已经超过了产品本身的价值和实际产品力！从而出现盲目对线那些说了一些对产品好的建议意见的实话人！#小米su7 # 玩转电车潇洒哥的微博视频,4-23 10:43,转发,评论,赞
卢伟冰,"今天，雷总在小米投资者大会上宣布，截止到4月20号，#小米su7# 锁单量已经超过7万台！

目前锁单动能持续很强，感谢用户对小米的信任",4-23 转赞人数超过2600,95,295,2971
AUTO老徐,小米su7的座椅侧翼主动支撑，如果你用一下，你就会知道它的好#小米su7#AUTO老徐的专属圈子 AUTO老徐的微博视频,4-23 转赞人数超过100,7,41,135
Car咖,"#2024北京车展#将于4月25日至5月4日举行
主题为：“新时代 新汽车”

【小米汽车北京车展攻略 雷总主讲 线上直播】
#小米SU7#全系9色 首次集体亮相！！！
在W2馆·W203展位等你打卡",4-23 10:42,转发,4,7
AUTO老徐,小米su7的座椅侧翼主动支撑，如果你用一下，你就会知道它的好#小米su7#AUTO老徐的专属圈子 AUTO老徐的微博视频,4-23 转赞人数超过100,7,41,135
Car咖,"#2024北京车展#将于4月25日至5月4日举行
主题为：“新时代 新汽车”

【小米汽车北京车展攻略 雷总主讲 线上直播】
#小米SU7#全系9色 首次集体亮相！！！
在W2馆·W203展位等你打卡",4-23 10:42,转发,4,7
类星频道,"36 氪：小米第三款车定位 15 万，2026 年推出。

这款车对成本敏感，销量目标很高。

会不会有增程？

第二款车是纯电 SUV，2025 年上半年推出。

小米 SU7 的高性能套件将和 V8s 电机同步上线，为赛道而生。

#小米su7#",4-23 10:41,1,7,10
郭淼淼Dawn,"最真实的续航给到大家，
一 我是用户，是我真实从上海开回来的
二是我没有被任何充值
#亿点曝光计划##我与汽车的日常##小米su7# 郭淼淼Dawn的微博视频",4-23 10:36,转发,2,3
歪果仁肯哥,国产最强3M车！#中国猛士##mg cyberster##小米su7#,4-23 10:31,转发,评论,赞
钢铁是怎样炼成功的,#小米##小米汽车##小米SU7#标准版、Max版4月底交付，4月18日已经开启提前交付。,4-23 转赞人数超过90,转发,107,111
杨慢慢的日记,本来不打算发，只想悄悄地拥有小灰。可是提完车之后: 开着小灰出去炸街太快乐了，开着小灰载好朋友去二环看话剧太快乐了，开着小灰在清晨送小熊上班太快乐了。好喜欢这些瞬间，那就携小灰给大家打招呼吧！ 介绍大家认识我的新朋友， Founders Edition 2460 #小米SU7# 北京·小米汽车北京超级工厂店,4-23 转赞人数超过10,转发,4,18
科技数码秀,"这个事总结成一个观点，就是@金剪刀开箱 认为陈震别的车做车评都收钱了所以夸，到#小米su7# 这没收小米的钱就说缺点，而@陈震同学 个人表达的是不管收不收钱该夸就夸该骂就骂，然后金剪刀嘟囔着非要陈震承认他的观点，陈震当然不会承认这种不存在的观点。

其实，能做到收钱还能谈缺点的，本身在车评圈 ...全文",4-23 10:30,转发,12,6
吕阿仓,"“守正出奇，敬畏汽车工业，招募最优秀人才，先不追求特别颠覆的设计和特别颠覆的架构，而是在现有每一个领域里面，都力求做好最好。

很多人问我苹果为什么不做车，或者这十年干了什么，我相信苹果一定天天想着颠覆，我觉得我们小米不是苹果，我们比较务实，我们先上牌桌，现在看这条我们做到了”

...全文",4-23 10:28,转发,4,1
蓝洞CMF设计研究,"运动感色彩趋势，在悄悄变化

运动感色彩：
高饱和度的色彩能激发人的活力，
使人感到充满能量，热情澎湃，
这种搭配具有较强的视觉冲击力，
营造出动态、活跃的氛围。

偏正色趋势：蓝青色和玫红色
（正蓝和正红色减少）

蓝色：往青绿方向走
红色：往橙红/玫红方向走

#小米su7 ##色彩搭配 # ...全文",4-23 10:22,转发,评论,赞
猛虎小兵,看了一会陈震的直播，看到了人和人之间的认知差距。所以说，终身学习，保持低调才能不断的强化自己。这个世界上有钱的人不一定有知识，但是没知识的人感觉是真穷啊！#小米su7#,4-23 10:06,转发,1,赞
小马甲不小,"#小米su7#上周20万以上新能源轿车交付量第二，

20万以上纯电轿车交付量第二，

20万以上纯电车交付量第三，包括SUV。

小米汽车",4-23 09:58,1,2,9
丶夜天凌,#小米su7# 小米su7即是雷军最软的地方也是雷军最硬的地方。最软是指su7是他亲手打造出来的，看su7的眼神就像他自己的孩子一般温柔。最硬是指su7在他手里也是一把利剑，是和其他汽车友商竞争的利器。,4-23 09:57,转发,1,赞
驾探无限-何同学,Model Y的地位虽然很难撼动，但已超过Model 3，小米 SU7 加油#小米su7##特斯拉##新能源汽车#,4-23 09:56,转发,1,赞
惜车工场CarSsicWerkz,"《迟到车评》最不迟到的一集
小米SU7，明天开拍
#小米su7##我与汽车的日常##珍惜珍稀的车# 北京",4-23 09:46,转发,2,5
要么有钱要么变瘦,青岛路边终于让我逮着一辆了#小米su7##小米汽车#,4-23 09:42,转发,1,赞
今天喝可乐了莫,说好的扩充产能，为啥我的还显示这么久@雷军 雷总能不能帮我提前一下#小米su7#,4-23 09:42,转发,5,1
小马甲不小,"#小米su7#上周全国上险量1717台，分布在65个城市。

北京交付高峰过去，占比大幅度下降。

上海、深圳占比大幅提高。

产能受限，影响交付量，未来很长时间，产量=交付量。

杭州网友透露，交付中心基本没车了。

小米汽车",4-23 09:41,转发,3,10
极速试驾-段艺强,#小米su7# 都挺好的，就是遇到保时捷有种说不出来的感觉～小米 极速试驾-段艺强的微博视频,4-23 转赞人数超过10,转发,2,18
呵叔本人,小米的选装件 某宝才10几块？！#小米# #小米SU7# #雷军# #2024北京车展# 呵叔本人的微博视频,4-23 09:30,转发,1,赞
科技九洲君,明早去北京，一堆北京车展的相关活动，周五夜里才能回来，得榨干#小米SU7#的价值，朋友们，我把车停在高新区创新产业园二期星巴克斜对面了，感兴趣的朋友可以过去看车我还把U盘格式化了，打开哨兵模式，看看这几天的关注度如何。#新能源大牛说# 合肥·合肥创新产业园二期,4-23 转赞人数超过300,60,202,345
训殖师,"确实，说得很好，无论他两谁输谁赢，小米汽车都是最大输家，这场辩论的带来的话题，几大平台直播的影响力，还有热搜二创等，会把小米汽车的优缺点都无限放大。
米粉要做的是不要再关注此事，视频文章等不要评论点赞贡献热度。
陈震和金剪刀直播对峙小米SU7争议，谁输谁赢？
#陈震与金剪刀直播对峙小米su7争议# ...全文",4-23 09:25,转发,评论,赞
崔啸-大管家,"谁能想到，今晚这么多场汽车发布会，于是北京车展前夕，但汽车圈的关注度热点，竟然是一场直播聊天…

不是我自已信息茧房，跟同行和和车企的朋友刚微信沟通了一下，只要今晚不在彩排或发布会上的，几乎都在看这场“辩论”。

赢到家了…
#陈震回应小米su7测评争议##小米su7#陈震同学",4-23 09:17,1,6,3
天眼影像,"刚刚在看@铁秀IRONSHOW 的#小米su7# 视频，期待了好久的铁秀坡终于来了，这姿态太强了！！！

之前我就短暂地试驾了小米SU7 ，转向灵敏电门响应迅速，底盘很整，侧倾和上下起伏都抑制得很好，我特别喜欢，这个视频也算是验证了我的体验感受

这段时间我跟@科技洋洋 一起称赞这辆车，就是某个 ...全文",4-23 09:16,转发,2,1
最好de坏蛋,"#小米SU7# 搞主动锁单不退定金是画蛇添足、莫名其妙的愚蠢营销噱头~^_^~
对此，小米给出理由：你一旦锁单，我就立马生产，然后你不要了，我有损失，当然不能退定金。
这种解释很牵强——本来小米给出了7天无理由退单，7天后自动锁单，也就是说，不锁单不会立马生产，7天后才会生产。
♦以小米汽车工厂 ...全文",4-23 09:15,转发,评论,赞
太空橘子,"看完陈震关于小米SU7的直播

现阶段的社会矛盾是认知差…断层式差距

#小米SU7##小米# #陈震直播回应小米SU7争议#",4-23 09:14,转发,6,5
陈默yes,#小米su7# cc@雷军 cc@小米汽车 建议对那些拿钱进行无底黑的鼠辈宵小采取法律手段，不纵容他们任何一个，太恶心了。提出批评和建议当然是必须欢迎的。,4-23 09:10,转发,评论,赞
生之如舟_,小米SU7标准版在华为液冷超充桩上充电，是一种什么样的体验？#小米SU7##小米汽车#华为 生之如舟_的微博视频,4-23 09:10,转发,评论,4
小猪爱上牛,#小米su7#小米汽车 小米Su7的交付现场，感觉和老贾的交付现场很相似。小雷成功了，老贾革命尚未成功…… 小猪爱上牛的微博视频,4-23 09:09,1,评论,13
阿汤锅很OK,"什么叫TM的流量？
震哥@陈震同学 还是强啊～
数码圈的代表选错人了吧
啪啪一堆跟街坊骂街似的在说个啥呀
#小米su7#",4-23 09:09,转发,6,4
阿汤锅很OK,"什么叫TM的流量？
震哥@陈震同学 还是强啊～
数码圈的代表选错人了吧
啪啪一堆跟街坊骂街似的在说个啥呀
#小米su7#",4-23 09:09,转发,6,4
崔啸-大管家,呃…这位红衣胖哥哥，您刚才的一段发言，已经涉嫌公开诽谤了……#小米su7##陈震回应小米su7测评争议#陈震同学,4-23 09:03,转发,2,5
大梦-LICHAN,"这一周只有1700，稍微有点低于预期。

如果是算上之前的量，到目前为止总量就是5187，应该就是交付完了创始版，然后最后一周开始交付普通的MAX。

这么算的话，本月破万应该就不太可能了，最后的总量应该在7K~8K左右。

#小米SU7#小米汽车#小米#小米",4-23 09:02,转发,5,9
Xauto报告,"小米SU7 2024年交付目标超过10万辆

4月23日，小米召开了小米投资者大会，雷军在会上透露，截止到4月20号，小米SU7锁单量已经超过7万台。雷军还宣布，小米SU7 2024年交付目标是超过10万辆。
#汽场全开##小米su7#",4-23 09:01,转发,评论,2
开心就好木子三金,30-33周交付最快4个月，九月份能开上就好了#小米su7# 日照,4-23 09:00,转发,评论,赞
王小北Air,小米SU7哨兵模式曝存储空间问题！车主愤怒：连肇事者都抓不到 #小米SU7##小米su7# 王小北Air的微博视频,4-23 08:57,转发,评论,赞
大梦-LICHAN,"发现一些#小米SU7# 的语音小玩法

1、直接问车机的小爱，可以知道手机的剩余电量；
2、可以直接用车机来打电话，说联系人或者电话号码都可以；

小米汽车#小米##小米su7#",4-23 08:54,1,5,11
钢琴调律林杰,希望国庆前能提上小米汽车小米su7#小米su7#,4-23 08:54,转发,评论,2
小爱同学,"#小米SU7#支持小爱同学「可见即可说」。
打造深度系统级语音交互能力，您只需对小爱说出界面上看到的文字或角标，即可轻松执行点击动作。
无论是导航、音乐还是电话，一切尽在掌控之中。告别繁琐操作，智能语音让驾驶更便捷！",4-23 转赞人数超过20,5,2,38
驾仕派,"【小米SU7锁单量超7万，2024年目标交付超10万辆，意味着什么？】

雷军在今天的小米投资者大会上称，小米SU7锁单量截至4月20日已超过7万辆，2024年小米SU7的交付目标是超过10万辆。

这个成绩意味着什么？

1、小米汽车有望刷造车新势力十万台下线速度新纪录，仅用了不到一年。作为对比，这一纪录之前 ...全文",4-23 08:45,转发,评论,1
驾仕派,"【小米SU7锁单量超7万，2024年目标交付超10万辆，意味着什么？】

雷军在今天的小米投资者大会上称，小米SU7锁单量截至4月20日已超过7万辆，2024年小米SU7的交付目标是超过10万辆。

这个成绩意味着什么？

1、小米汽车有望刷造车新势力十万台下线速度新纪录，仅用了不到一年。作为对比，这一纪录之前 ...全文",4-23 08:45,转发,评论,1
神怡y,"完全就不是一个级别的
非要把数码博主的脸丢完吗？
过完今晚数码圈默认这胖子不是数码博主了吧#陈震直播回应小米su7争议##小米su7#",4-23 08:45,转发,4,1
Ac迈脚,小米SU7和珠峰合影#小米su7##小米汽车# @雷军 @小米汽车 日喀则·珠穆朗玛峰,4-23 08:31,转发,评论,1
野生11,"紫气东来到手了
它就像很撩的在那儿等你
怎么样，有点般配吗？
#小米su7# 北京",4-23 转赞人数超过1400,125,264,1480
智车星球-西子,"极星科技董事长CEO沈子瑜“内涵”小米SU7？ 极星的设计，不需要和保时捷心有灵犀
#极星##设计##保时捷##小米SU7# 智车星球-西子的微博视频",4-23 08:24,转发,评论,赞
晖蛋Ivan,"#王腾送全网第一台满配件小米SU7#
Redmi的王腾正在抽奖送一台满配件的#小米SU7# ，这么幸运的事会花落谁家呢！",4-23 08:23,转发,评论,1
香港沉默之聲,"当吉利遇上小米！

图：读者提供

#搞笑##小米su7#",4-23 08:16,转发,4,10
谢宗桓,"小米这条视频一直在喷，我是吉娃娃....

为了证明我不是，有没有在广州有极客001或者是007的朋友，我免费帮你调音响，你只要借我半天就好了，你想一起出镜也可以，来做一个真实的评测，有兴趣的人跟我联系。

#小米SU7##极氪001##极氪007#",4-23 08:11,3,44,75
收到明白好嘞,"这戏我9年前看过
左边这叫罗永浩
右边这是王自如
大荧幕重映了…
罗永浩更聪明了
王自如更业余心理素质 表达能力更差…
#陈震##小米su7#",4-23 08:10,转发,评论,赞
夏刀磨剪刀,金剪刀口才真的比不上陈震啊……你拍开箱的怎么说的过陈震一车评人呢…说到后面直接就硬杠了，自取其辱啊…#小米su7# @陈震说车,4-23 08:08,转发,3,赞
蛙背小月爪,这位胖哥你这来和震哥掰扯纯属来多余了，纯纯给小米招黑了#小米su7#,4-23 08:13,转发,1,赞
谢宗桓,"小米这条视频一直在喷，我是吉娃娃....

为了证明我不是，有没有在广州有极客001或者是007的朋友，我免费帮你调音响，你只要借我半天就好了，你想一起出镜也可以，来做一个真实的评测，有兴趣的人跟我联系。

#小米SU7##极氪001##极氪007#",4-23 08:11,3,44,75
收到明白好嘞,"这戏我9年前看过
左边这叫罗永浩
右边这是王自如
大荧幕重映了…
罗永浩更聪明了
王自如更业余心理素质 表达能力更差…
#陈震##小米su7#",4-23 08:10,转发,评论,赞
夏刀磨剪刀,金剪刀口才真的比不上陈震啊……你拍开箱的怎么说的过陈震一车评人呢…说到后面直接就硬杠了，自取其辱啊…#小米su7# @陈震说车,4-23 08:08,转发,3,赞
